mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_output_activation,param_optimizer,param_loss,param_l2_regularizer,param_hidden_activation,param_gamma,param_epochs,param_dropout_rate,param_contamination,param_capacity,param_batch_size,879155_test_eer,785873_test_eer,201848_test_eer,368258_test_eer,710707_test_eer,186676_test_eer,827212_test_eer,815316_test_eer,698266_test_eer,mean_test_eer,std_test_eer,rank_test_eer,879155_test_accuracy,785873_test_accuracy,201848_test_accuracy,368258_test_accuracy,710707_test_accuracy,186676_test_accuracy,827212_test_accuracy,815316_test_accuracy,698266_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,owner,run,264325_test_eer,264325_test_accuracy
24.63514651192559,0.5056667284538116,0.017065922419230144,0.009754841540885772,<function selu at 0x2ab2bf296a60>,sgd,<function kullback_leibler_divergence at 0x2ab2bf25ce18>,1.0,<function sigmoid at 0x2ab2bf296d08>,3,500,0.25,0.5,0.5,32,0.6093750000003906,0.6607142857142856,0.76,0.5671641791044774,0.5666666666666664,0.5737704918032775,0.5348837209299441,0.6212121212121212,0.47727272727272724,0.5967843547448767,0.07594618595331497,13.0,0.30952380952380953,0.2261904761904762,0.14285714285714285,0.30952380952380953,0.2857142857142857,0.2857142857142857,0.19047619047619047,0.2976190476190476,0.27380952380952384,0.2579365079365079,0.055271382052317936,12,264325,0,,
24.529008653428818,0.42684984763017164,0.01573499043782552,0.006557445920879454,<function selu at 0x2ab2bf296a60>,sgd,<function kullback_leibler_divergence at 0x2ab2bf25ce18>,0.75,<function sigmoid at 0x2ab2bf296d08>,3,500,0.25,0.5,0.5,32,0.625,0.6271186440677966,0.279069767441861,0.4651162790698039,0.5961538461537624,0.6333333333333333,0.5970149253730381,0.6666666666666664,0.6046511627903868,0.5660138472107388,0.11438512840688328,8.0,0.27380952380952384,0.2261904761904762,0.35714285714285715,0.2261904761904762,0.23809523809523808,0.27380952380952384,0.3333333333333333,0.21428571428571427,0.17857142857142858,0.2579365079365079,0.05440995714604003,12,264325,0,,
24.29334905412462,0.7677862378161827,0.02023135291205512,0.011850318402234113,<function selu at 0x2ab2bf296a60>,sgd,<function kullback_leibler_divergence at 0x2ab2bf25ce18>,0.5,<function sigmoid at 0x2ab2bf296d08>,3,500,0.25,0.5,0.5,32,0.6271186440677966,0.6607142857142856,0.5625,0.5957446808509855,0.5645161290322579,0.6779661016949142,0.6562499999999999,0.6530612244897959,0.5333333333331581,0.6145782665759105,0.04909750953277494,14.0,0.2619047619047619,0.21428571428571427,0.25,0.21428571428571427,0.3333333333333333,0.23809523809523808,0.27380952380952384,0.15476190476190477,0.3333333333333333,0.2526455026455026,0.05405507074524484,15,264325,0,,
23.737680223253037,1.5166281538448114,0.018331713146633573,0.00849814976386288,<function selu at 0x2ab2bf296a60>,sgd,<function kullback_leibler_divergence at 0x2ab2bf25ce18>,0.25,<function sigmoid at 0x2ab2bf296d08>,3,500,0.25,0.5,0.5,32,0.5199999999999995,0.6078431372544099,0.37037037037065224,0.41860465116279094,0.39344262295083426,0.5689655172413789,0.38095238095246015,0.6086956521743586,0.6274509803921569,0.4995917013887823,0.10208886953729811,2.0,0.2857142857142857,0.23809523809523808,0.2619047619047619,0.2857142857142857,0.21428571428571427,0.2976190476190476,0.2976190476190476,0.30952380952380953,0.2261904761904762,0.26851851851851855,0.03277648596128008,3,264325,0,,
24.43923791249593,0.7121582099210686,0.016692770851982966,0.006349933180154134,<function selu at 0x2ab2bf296a60>,sgd,<function kullback_leibler_divergence at 0x2ab2bf25ce18>,0.0,<function sigmoid at 0x2ab2bf296d08>,3,500,0.25,0.5,0.5,32,0.32075471698113206,0.6363636363636364,0.5862068965517093,0.5652173913043477,0.6129032258064667,0.5306122448978907,0.4444444444444445,0.5714285714285707,0.41666666666666696,0.5205108660494295,0.09856737248232386,5.0,0.2976190476190476,0.21428571428571427,0.2857142857142857,0.25,0.2857142857142857,0.2619047619047619,0.2976190476190476,0.3333333333333333,0.17857142857142858,0.2671957671957672,0.04458280303267914,4,264325,0,,
20.475935644573635,1.3281530592387303,0.025725046793619793,0.01326227504424468,<function selu at 0x2ab2bf296a60>,sgd,<function kullback_leibler_divergence at 0x2ab2bf25ce18>,1.0,<function sigmoid at 0x2ab2bf296d08>,3,350,0.25,0.5,0.5,32,0.3818181818182528,0.6470588235294118,0.7118644067796254,0.4375,0.35999999999986587,0.543859649122807,0.5111111111111111,0.4489795918367347,0.37500000000016454,0.4907990849108859,0.11714156331399905,1.0,0.25,0.2261904761904762,0.20238095238095238,0.25,0.2857142857142857,0.30952380952380953,0.2619047619047619,0.3333333333333333,0.2619047619047619,0.26455026455026454,0.03797010606986064,8,264325,0,,
20.68891167640686,1.4919647511451908,0.024833785163031682,0.010302737050180292,<function selu at 0x2ab2bf296a60>,sgd,<function kullback_leibler_divergence at 0x2ab2bf25ce18>,0.75,<function sigmoid at 0x2ab2bf296d08>,3,350,0.25,0.5,0.5,32,0.5999999999998459,0.576271186440676,0.6461538461538461,0.5599999999999999,0.6226415094339622,0.47727272727272724,0.6440677966101696,0.5,0.6119402985075971,0.582038596046536,0.05681244842751243,11.0,0.2619047619047619,0.2857142857142857,0.27380952380952384,0.2619047619047619,0.2261904761904762,0.27380952380952384,0.25,0.2619047619047619,0.30952380952380953,0.2671957671957672,0.021815373680516722,4,264325,0,,
21.479508770836723,1.1484525343039997,0.01947087711758084,0.009772799583666381,<function selu at 0x2ab2bf296a60>,sgd,<function kullback_leibler_divergence at 0x2ab2bf25ce18>,0.5,<function sigmoid at 0x2ab2bf296d08>,3,350,0.25,0.5,0.5,32,0.6721311475409831,0.5510204081632654,0.6029411764703468,0.4666666666666888,0.6290322580645161,0.48888888888888893,0.5319148936169128,0.5909090909090563,0.64,0.5748338367022954,0.06599249666329886,10.0,0.25,0.27380952380952384,0.2976190476190476,0.25,0.23809523809523808,0.25,0.23809523809523808,0.32142857142857145,0.27380952380952384,0.2658730158730159,0.026914007869544725,6,264325,0,,
21.866173187891643,1.1992625651694204,0.02845387988620334,0.012949504603794855,<function selu at 0x2ab2bf296a60>,sgd,<function kullback_leibler_divergence at 0x2ab2bf25ce18>,0.25,<function sigmoid at 0x2ab2bf296d08>,3,350,0.25,0.5,0.5,32,0.5,0.5245901639344203,0.34426229508196715,0.5,0.42622950819672134,0.5873015873015691,0.65,0.6976744186046512,0.6507936507936507,0.5423168471014422,0.10858689426477859,6.0,0.35714285714285715,0.32142857142857145,0.25,0.27380952380952384,0.21428571428571427,0.2976190476190476,0.25,0.14285714285714285,0.2619047619047619,0.26322751322751325,0.05844106358300139,9,264325,0,,
21.63867637846205,1.1516261589764718,0.026102622350056965,0.009264277038626782,<function selu at 0x2ab2bf296a60>,sgd,<function kullback_leibler_divergence at 0x2ab2bf25ce18>,0.0,<function sigmoid at 0x2ab2bf296d08>,3,350,0.25,0.5,0.5,32,0.6363636363636364,0.5396825396825397,0.5918367346938369,0.5357142857139124,0.6166666666666666,0.6818181818181803,0.7068965517241158,0.6779661016949142,0.6461538461538461,0.625899838279072,0.057474963996063784,15.0,0.23809523809523808,0.3333333333333333,0.25,0.27380952380952384,0.27380952380952384,0.20238095238095238,0.21428571428571427,0.2261904761904762,0.27380952380952384,0.25396825396825395,0.03764616262105214,14,264325,0,,
