mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_contamination,879155_test_eer,785873_test_eer,201848_test_eer,368258_test_eer,710707_test_eer,186676_test_eer,827212_test_eer,815316_test_eer,698266_test_eer,mean_test_eer,std_test_eer,rank_test_eer,879155_test_accuracy,785873_test_accuracy,201848_test_accuracy,368258_test_accuracy,710707_test_accuracy,186676_test_accuracy,827212_test_accuracy,815316_test_accuracy,698266_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,owner,run,264325_test_eer,264325_test_accuracy
0.002760118908352322,0.00013622959242353406,0.00923919677734375,0.0002187228244849476,0.5,0.368421052631579,0.368421052631579,0.368421052631579,0.368421052631579,0.368421052631579,0.368421052631579,0.368421052631579,0.368421052631579,0.368421052631579,0.368421052631579,0.0,6.0,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.0,6,264325,0,,
0.002666685316297743,0.00015156532603233223,0.009130689832899306,8.50003340510535e-05,0.4,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.0,5.0,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.0,5,264325,0,,
0.002595318688286675,0.00018403598299531504,0.008965492248535156,0.0001284850776474546,0.3,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,4.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,4,264325,0,,
0.0024105707804361978,0.0002003429300975376,0.009075323740641275,7.999360816964616e-05,0.19999999999999996,0.22580645161290325,0.22580645161290325,0.22580645161290325,0.22580645161290325,0.22580645161290325,0.22580645161290325,0.22580645161290325,0.22580645161290325,0.22580645161290325,0.22580645161290322,2.7755575615628914e-17,3.0,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.0,3,264325,0,,
0.002357853783501519,0.0001055051892285524,0.00914372338189019,4.3357833068133525e-05,0.09999999999999998,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.0,2.0,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.0,2,264325,0,,
0.002314541074964735,7.28387245742463e-05,0.008799658881293403,6.768691014049941e-05,0.0,0.0,0.0,0.48936170212765956,0.03999999999999997,0.0,0.0,0.0,0.0,0.0,0.05881796690307328,0.15273029839621832,1.0,1.0,1.0,0.5208333333333334,0.9791666666666666,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,0.14990995239529792,1,264325,0,,
0.0027873251173231336,0.00039135409690172645,0.009280496173434787,0.00027957363262826713,0.5,,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.0,5.0,,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.0,5,879155,0,0.3142857142857143,0.7708333333333334
0.002736806869506836,0.0003353562394727102,0.009549591276380751,0.0011669256973119578,0.4,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,4.0,,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,4,879155,0,0.25,0.8333333333333334
0.00269876586066352,7.087429650567831e-05,0.009140226576063368,0.00010183524879020906,0.3,,0.2592592592592593,0.22580645161290325,0.22580645161290325,0.22580645161290325,0.22580645161290325,0.22580645161290325,0.22580645161290325,0.22580645161290325,0.22952343024027616,0.010513203171763357,3.0,,0.7708333333333334,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8449074074074074,0.02618914004394618,3,879155,0,0.22580645161290325,0.8541666666666666
0.0029932657877604165,0.0007317272101000307,0.009528822369045682,0.0004009628238967489,0.19999999999999996,,0.3103448275862069,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.16146688560481662,0.05263630117206922,2.0,,0.7291666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8958333333333334,0.05892556509887896,2,879155,0,0.14285714285714285,0.9166666666666666
0.0028817388746473524,0.0004036820359931204,0.009533829159206815,0.00026186681786672235,0.09999999999999998,,0.3947368421052752,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.07941520467836391,0.11148303403970743,1.0,,0.6666666666666666,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9444444444444444,0.09820927516479827,1,879155,0,0.04,0.9791666666666666
0.002737760543823242,8.590086081733529e-05,0.009021547105577257,0.00024262293390011312,0.0,,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.4782608695652174,0.44202898550724634,0.1564277764124848,6.0,,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5416666666666666,0.5601851851851852,0.15603981061437702,6,879155,0,0.5,0.5
0.0026010142432318795,8.812885207856402e-05,0.009149869283040365,0.00013027548377825688,0.5,0.3333333333333333,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,6.0,0.75,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.0,6,785873,0,0.3333333333333333,0.75
0.0025156339009602866,5.047709158763013e-05,0.009157737096150717,0.00011530506849139235,0.4,0.29411764705882354,,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.0,5.0,0.7916666666666666,,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.0,5,785873,0,0.29411764705882354,0.7916666666666666
0.0025690396626790366,6.245788173021274e-05,0.009125894970364042,8.195896792173066e-05,0.3,0.14285714285714285,,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,3.0,0.9166666666666666,,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0,3,785873,0,0.14285714285714285,0.9166666666666666
0.002606259451972114,0.00010282234774683695,0.009254508548312716,0.00010159210451854826,0.19999999999999996,0.14285714285714285,,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,3.0,0.9166666666666666,,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0,3,785873,0,0.14285714285714285,0.9166666666666666
0.002715375688340929,0.00033390772289148657,0.00998271836174859,0.0011590450413487125,0.09999999999999998,0.07999999999999999,,0.07692307692307691,0.07692307692307691,0.07692307692307691,0.07692307692307691,0.07692307692307691,0.07692307692307691,0.07692307692307691,0.07726495726495725,0.000966983632391859,2.0,0.9375,,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9560185185185186,0.006547285010986563,1,785873,0,0.07692307692307691,0.9583333333333334
