mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_contamination,879155_test_eer,785873_test_eer,201848_test_eer,368258_test_eer,710707_test_eer,186676_test_eer,827212_test_eer,815316_test_eer,698266_test_eer,mean_test_eer,std_test_eer,rank_test_eer,879155_test_accuracy,785873_test_accuracy,201848_test_accuracy,368258_test_accuracy,710707_test_accuracy,186676_test_accuracy,827212_test_accuracy,815316_test_accuracy,698266_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,owner,run,264325_test_eer,264325_test_accuracy
0.0030546188354492188,5.3452100783189265e-05,0.0039713382720947266,4.771880342390911e-05,0.5,0.368421052631579,0.368421052631579,0.368421052631579,0.368421052631579,0.368421052631579,0.368421052631579,0.368421052631579,0.368421052631579,0.368421052631579,0.368421052631579,0.0,4.0,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.0,4,264325,0,,
0.003029505411783854,5.1411508301181215e-05,0.0039988358815511065,4.1558302937610636e-05,0.4,0.368421052631579,0.368421052631579,0.368421052631579,0.368421052631579,0.368421052631579,0.368421052631579,0.368421052631579,0.368421052631579,0.368421052631579,0.368421052631579,0.0,4.0,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.0,4,264325,0,,
0.003070831298828125,8.892135843898474e-05,0.00404969851175944,4.354387533880181e-05,0.3,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.0,3.0,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.0,3,264325,0,,
0.0034037960900200736,0.0009203653311375974,0.004331482781304253,0.0007548346280746602,0.19999999999999996,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,2.0,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.0,2,264325,0,,
0.0031512843237982858,9.213938932600838e-05,0.004131370120578342,5.1748339639550296e-05,0.09999999999999998,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.0,1.0,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.0,1,264325,0,,
0.0005237526363796658,4.87924238973131e-05,0.0,0.0,0.0,,,,,,,,,,,,6.0,,,,,,,,,,,,6,264325,0,,
0.0030782752566867405,7.509859587471146e-05,0.004065301683213975,5.044998784276018e-05,0.5,,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.0,5.0,,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.0,5,879155,0,0.3142857142857143,0.7708333333333334
0.003034777111477322,3.129309376586172e-05,0.004049460093180339,4.076578136222667e-05,0.4,,0.28124999999999994,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.27367424242424243,0.0026784347772217595,4.0,,0.7916666666666666,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8101851851851851,0.006547285010986563,3,879155,0,0.2727272727272727,0.8125
0.0032196044921875,0.0003249541152944212,0.004065699047512478,0.000463655013345221,0.3,,0.4285714285714286,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.2698412698412699,0.05611958580845616,3.0,,0.5833333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8055555555555556,0.07856742013183862,4,879155,0,0.25,0.8333333333333334
0.00319316652086046,0.000576500719569016,0.004150390625,0.0003301508442058527,0.19999999999999996,,0.3823529411765368,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.14124909222949172,0.0852430832803163,2.0,,0.6666666666666666,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9074074074074073,0.08511470514282518,2,879155,0,0.1111111111111111,0.9375
0.003022432327270508,6.619674185710546e-05,0.00431015756395128,9.142498122912607e-05,0.09999999999999998,,0.3947368421052752,0.04,0.23333333333335543,0.04,0.04,0.04,0.04,0.04,0.10089668615984786,0.12011122042939583,1.0,,0.6666666666666666,0.9791666666666666,0.8333333333333334,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9282407407407407,0.1030547652294077,1,879155,0,0.04,0.9791666666666666
0.0004493395487467448,1.2138292371137481e-05,0.0,0.0,0.0,,,,,,,,,,,,6.0,,,,,,,,,,,,6,879155,0,,
0.0030696127149793836,0.00016178946679366464,0.004085461298624675,0.0001287633487845997,0.5,0.3142857142857143,,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.0,5.0,0.7708333333333334,,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.0,5,785873,0,0.3142857142857143,0.7708333333333334
0.003060844209459093,0.00011105133982902552,0.004075474209255642,6.284909286491382e-05,0.4,0.2727272727272727,,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.0,4.0,0.8125,,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.0,4,785873,0,0.2727272727272727,0.8125
