mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_contamination,879155_test_eer,785873_test_eer,201848_test_eer,368258_test_eer,710707_test_eer,186676_test_eer,827212_test_eer,815316_test_eer,698266_test_eer,mean_test_eer,std_test_eer,rank_test_eer,879155_test_accuracy,785873_test_accuracy,201848_test_accuracy,368258_test_accuracy,710707_test_accuracy,186676_test_accuracy,827212_test_accuracy,815316_test_accuracy,698266_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,owner,run,264325_test_eer,264325_test_accuracy
1.9727236959669325,0.08945456733143094,0.0018688042958577473,0.0003653801868057013,0.5,0.4418604651162791,0.4418604651162791,0.4418604651162791,0.4418604651162791,0.4418604651162791,0.4418604651162791,0.4418604651162791,0.4418604651162791,0.4418604651162791,0.4418604651162791,0.0,6.0,0.6041666666666666,0.6041666666666666,0.6041666666666666,0.6041666666666666,0.6041666666666666,0.6041666666666666,0.6041666666666666,0.6041666666666666,0.6041666666666666,0.6041666666666666,0.0,6,264325,0,,
1.868464125527276,0.237190658865296,0.0020350880093044704,0.0005302987668877295,0.4,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.0,5.0,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.6875,0.0,5,264325,0,,
1.784276352988349,0.29838425730297813,0.002118666966756185,0.0004970766078933476,0.3,0.3513513513513513,0.3513513513513513,0.3513513513513513,0.3513513513513513,0.3513513513513513,0.3513513513513513,0.3513513513513513,0.3513513513513513,0.3513513513513513,0.3513513513513513,0.0,3.0,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.0,3,264325,0,,
1.6546985043419733,0.37527788428698966,0.0018898910946316188,0.0003022962428509445,0.19999999999999996,0.3513513513513513,0.3513513513513513,0.3513513513513513,0.3513513513513513,0.3513513513513513,0.3513513513513513,0.3513513513513513,0.3513513513513513,0.3513513513513513,0.3513513513513513,0.0,3.0,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.0,3,264325,0,,
1.384594440460205,0.3089229862745392,0.0017391045888264973,0.00020385422117364318,0.09999999999999998,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.0,2.0,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.0,2,264325,0,,
1.6871968905131023,0.32608738996132924,0.0016736189524332683,0.0005618502874380713,0.0,0.0,0.0,0.03999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.004444444444444442,0.012570787221094169,1.0,1.0,1.0,0.9791666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.9976851851851851,0.006547285010986563,1,264325,0,,
1.2030952241685655,0.019134285226182258,0.0016185177697075738,0.00019817357493391856,0.5,,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0,6.0,,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.0,6,879155,0,0.42857142857142855,0.625
1.2390187581380208,0.03227392036065594,0.0016824139489067926,0.0002720816257622787,0.4,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,5.0,,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.0,5,879155,0,0.3333333333333333,0.75
1.0954073270161946,0.3831478710091561,0.0022212929195827907,0.0004359549008083259,0.3,,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.0,4.0,,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.0,4,879155,0,0.2727272727272727,0.8125
0.013187037573920356,0.00012264730592165124,0.0013946427239312066,4.872109070573005e-05,0.19999999999999996,,0.26666666666666666,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.2518518518518518,0.00523782800878924,3.0,,0.7916666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8287037037037037,0.013094570021973126,2,879155,0,0.25,0.8333333333333334
