mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_output_activation,param_optimizer,param_loss,param_l2_regularizer,param_hidden_activation,param_gamma,param_epochs,param_dropout_rate,param_contamination,param_capacity,param_batch_size,264325_test_eer,879155_test_eer,785873_test_eer,201848_test_eer,368258_test_eer,710707_test_eer,186676_test_eer,827212_test_eer,815316_test_eer,mean_test_eer,std_test_eer,rank_test_eer,264325_test_accuracy,879155_test_accuracy,785873_test_accuracy,201848_test_accuracy,368258_test_accuracy,710707_test_accuracy,186676_test_accuracy,827212_test_accuracy,815316_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,owner,run
21.812758498721653,1.1490564692355085,0.021853129069010418,0.01250529610035043,<function selu at 0x2ab2bf296a60>,sgd,<function kullback_leibler_divergence at 0x2ab2bf25ce18>,1.0,<function sigmoid at 0x2ab2bf296d08>,3,500,0.25,0.5,0.5,32,0.7368421052628449,0.27586206896551724,0.8222222222222222,0.4736842105263158,0.7209302325581396,0.26315789473684204,0.6744186046511628,0.6346153846153847,0.5344827586204355,0.5706906091287628,0.18871312113646826,6.0,0.17857142857142858,0.30952380952380953,0.09523809523809523,0.3333333333333333,0.15476190476190477,0.3333333333333333,0.14285714285714285,0.10714285714285714,0.3333333333333333,0.2208994708994709,0.09818700296241076,2,698266,0
21.897823466195,1.2350629900981125,0.01837513181898329,0.01377650419063149,<function selu at 0x2ab2bf296a60>,sgd,<function kullback_leibler_divergence at 0x2ab2bf25ce18>,0.75,<function sigmoid at 0x2ab2bf296d08>,3,500,0.25,0.5,0.5,32,0.8478260869565215,0.4769230769230773,0.35,0.7199999999999248,0.7647058823529412,0.6071428571428571,0.5517241379310345,0.5471698113207547,0.2500000000000064,0.5683879836252352,0.18235266745175913,5.0,0.10714285714285714,0.13095238095238096,0.25,0.17857142857142858,0.14285714285714285,0.10714285714285714,0.10714285714285714,0.15476190476190477,0.36904761904761907,0.17195767195767198,0.08192519876826468,13,698266,0
22.521757894092136,0.7239724677978218,0.012246873643663194,0.004245780338324705,<function selu at 0x2ab2bf296a60>,sgd,<function kullback_leibler_divergence at 0x2ab2bf25ce18>,0.5,<function sigmoid at 0x2ab2bf296d08>,3,500,0.25,0.5,0.5,32,0.6808510638297873,0.7454545454549315,0.41666666666666663,0.4375,0.6721311475409831,0.5614035087719298,0.6470588235294117,0.12500000000000006,0.5714285714285707,0.5397215919135867,0.17961636682335952,3.0,0.11904761904761904,0.16666666666666666,0.14285714285714285,0.16666666666666666,0.21428571428571427,0.10714285714285714,0.10714285714285714,0.42857142857142855,0.25,0.18915343915343916,0.09613408629950593,9,698266,0
22.480637576844956,0.5275132015923545,0.014329248004489474,0.007231279508675878,<function selu at 0x2ab2bf296a60>,sgd,<function kullback_leibler_divergence at 0x2ab2bf25ce18>,0.25,<function sigmoid at 0x2ab2bf296d08>,3,500,0.25,0.5,0.5,32,0.8076923076923077,0.25,0.6111111111113374,0.5818181818181754,0.5151515151515151,0.5357142857139124,0.7906976744186046,0.48148148148148145,0.82,0.5992962841541483,0.17519190548779512,13.0,0.10714285714285714,0.3333333333333333,0.23809523809523808,0.2857142857142857,0.09523809523809523,0.30952380952380953,0.08333333333333333,0.19047619047619047,0.10714285714285714,0.19444444444444445,0.09440775597912952,8,698266,0
22.337051550547283,0.6036006575070045,0.010525756412082247,0.002271765558254351,<function selu at 0x2ab2bf296a60>,sgd,<function kullback_leibler_divergence at 0x2ab2bf25ce18>,0.0,<function sigmoid at 0x2ab2bf296d08>,3,500,0.25,0.5,0.5,32,0.1764705882352941,0.82,0.3593749999999233,0.6153846153846154,0.4915254237288136,0.6590909090909091,0.6170212765957447,0.8541666666666662,0.7321428571426437,0.5916863707605122,0.20626380465444946,10.0,0.40476190476190477,0.10714285714285714,0.2261904761904762,0.11904761904761904,0.35714285714285715,0.15476190476190477,0.20238095238095238,0.08333333333333333,0.16666666666666666,0.20238095238095238,0.10499013139145201,7,698266,0
19.51605264345805,1.6941865017490239,0.022345940272013348,0.008574144097337187,<function selu at 0x2ab2bf296a60>,sgd,<function kullback_leibler_divergence at 0x2ab2bf25ce18>,1.0,<function sigmoid at 0x2ab2bf296d08>,3,350,0.25,0.5,0.5,32,0.5952380952380232,0.43661971830985913,0.27586206896551724,0.5714285714285707,0.803921568627451,0.7333333333333334,0.5660377358490566,0.82,0.46808510638299244,0.5856140220149783,0.1690008771371953,9.0,0.19047619047619047,0.13095238095238096,0.2976190476190476,0.25,0.13095238095238096,0.10714285714285714,0.13095238095238096,0.10714285714285714,0.23809523809523808,0.17592592592592593,0.06658578279710697,12,698266,0
19.906029886669582,1.2140362978262498,0.022864474190606013,0.00817404252307504,<function selu at 0x2ab2bf296a60>,sgd,<function kullback_leibler_divergence at 0x2ab2bf25ce18>,0.75,<function sigmoid at 0x2ab2bf296d08>,3,350,0.25,0.5,0.5,32,0.82,0.5076923076923077,0.7916666666666666,0.711538461538427,0.6842105263157875,0.7234042553190474,0.5681818181818182,0.1458333333333334,0.6842105263157875,0.6263042105959084,0.1933797759269209,14.0,0.10714285714285714,0.10714285714285714,0.11904761904761904,0.17857142857142858,0.21428571428571427,0.13095238095238096,0.20238095238095238,0.40476190476190477,0.21428571428571427,0.1865079365079365,0.08802013100324935,10,698266,0
20.997933864593506,0.5698033555924392,0.020345528920491535,0.006827241401471186,<function selu at 0x2ab2bf296a60>,sgd,<function kullback_leibler_divergence at 0x2ab2bf25ce18>,0.5,<function sigmoid at 0x2ab2bf296d08>,3,350,0.25,0.5,0.5,32,0.6511627906976744,0.43478260869565216,0.7777777777777778,0.5689655172413793,0.82,0.3709677419357473,0.625,0.8260869565217391,0.15555555555555553,0.5811443276028362,0.21328374914391227,7.0,0.15476190476190477,0.13095238095238096,0.14285714285714285,0.10714285714285714,0.09523809523809523,0.20238095238095238,0.14285714285714285,0.09523809523809523,0.4166666666666667,0.16534391534391535,0.09431504481468723,15,698266,0
18.971113522847492,2.8401054974384636,0.017572879791259766,0.009056951091840874,<function selu at 0x2ab2bf296a60>,sgd,<function kullback_leibler_divergence at 0x2ab2bf25ce18>,0.25,<function sigmoid at 0x2ab2bf296d08>,3,350,0.25,0.5,0.5,32,0.3076923076923077,0.4444444444444445,0.5937499999999437,0.6744186046511622,0.5961538461538461,0.8043478260869565,0.4418604651162791,0.3409090909090909,0.7636363636363637,0.5519125498544882,0.16835570194877997,4.0,0.40476190476190477,0.11904761904761904,0.30952380952380953,0.17857142857142858,0.13095238095238096,0.10714285714285714,0.23809523809523808,0.3333333333333333,0.16666666666666666,0.2208994708994709,0.10040719425581135,2,698266,0
12.257766909069485,0.701507503010113,0.00767827033996582,0.002577508006173707,<function selu at 0x2ab2bf296a60>,sgd,<function kullback_leibler_divergence at 0x2ab2bf25ce18>,0.0,<function sigmoid at 0x2ab2bf296d08>,3,350,0.25,0.5,0.5,32,0.8399999999999999,0.6037735849056604,0.20754716981132074,0.5,0.6176470588235294,0.5,0.6415094339622642,0.5538461538461539,0.7692307692307693,0.5815060189532997,0.1704109087580704,8.0,0.09523809523809523,0.11904761904761904,0.39285714285714285,0.15476190476190477,0.32142857142857145,0.30952380952380953,0.09523809523809523,0.39285714285714285,0.15476190476190477,0.22619047619047616,0.11904761904761905,1,698266,0
