mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_nu,param_gamma,879155_test_eer,785873_test_eer,201848_test_eer,368258_test_eer,710707_test_eer,186676_test_eer,827212_test_eer,815316_test_eer,698266_test_eer,mean_test_eer,std_test_eer,rank_test_eer,879155_test_accuracy,785873_test_accuracy,201848_test_accuracy,368258_test_accuracy,710707_test_accuracy,186676_test_accuracy,827212_test_accuracy,815316_test_accuracy,698266_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,owner,run,264325_test_eer,264325_test_accuracy
0.0006508827209472656,5.276878194715507e-05,0.0011759863959418403,5.275634594206064e-05,0.14086938775510202,0.655128556859551,0.1111111111111111,,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,22.0,0.9375,,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.0,22,785873,0,0.1111111111111111,0.9375
0.0005855825212266711,6.180152598650164e-05,0.0011165671878390843,0.0001504280282968667,0.08578571428571428,0.09102981779915217,0.12,,0.07692307692307694,0.07692307692307694,0.07692307692307694,0.07692307692307694,0.07692307692307694,0.07692307692307694,0.07692307692307694,0.08170940170940173,0.013537770853486031,21.0,0.8958333333333334,,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9513888888888888,0.019641855032959652,21,785873,0,0.07692307692307694,0.9583333333333334
0.0009223355187310113,4.472862329532787e-05,0.0014987256791856554,3.793985453544571e-05,0.2571571428571428,323.745754281764,0.14285714285714285,,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,43.0,0.9166666666666666,,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0,43,785873,0,0.14285714285714285,0.9166666666666666
0.0006816652086046007,6.290932669989178e-05,0.001428471671210395,4.673735447716673e-05,0.28775918367346937,0.0030888435964774815,0.14285714285714285,,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,43.0,0.9166666666666666,,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.0,43,785873,0,0.14285714285714285,0.9166666666666666
0.0007410844167073568,4.62859650569293e-05,0.0012680954403347438,3.5844599389083144e-05,0.18371224489795915,44.98432668969444,0.1111111111111111,,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,22.0,0.9375,,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.0,22,785873,0,0.1111111111111111,0.9375
0.0005058447519938151,5.4406355896042685e-05,0.001130978266398112,0.0001747416087740515,0.01234081632653061,44.98432668969444,0.0800000000000006,,0.07692307692307694,0.07692307692307694,0.07692307692307694,0.07692307692307694,0.07692307692307694,0.07692307692307694,0.07692307692307694,0.07726495726495736,0.0009669836323920422,9.0,0.9375,,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9560185185185186,0.006547285010986563,9,785873,0,0.07692307692307694,0.9583333333333334
0.0006465911865234375,4.201266412468074e-05,0.0011666085984971789,3.2742325238272355e-05,0.14086938775510202,44.98432668969444,0.1111111111111111,,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,22.0,0.9375,,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.0,22,785873,0,0.1111111111111111,0.9375
0.0007595221201578776,5.277919401573921e-05,0.0014222992791069879,4.413887299994963e-05,0.28775918367346937,0.016768329368110083,0.1724137931034483,,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.0,50.0,0.8958333333333334,,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.0,50,785873,0,0.1724137931034483,0.8958333333333334
0.0007528463999430338,3.5672603917160604e-05,0.0012616316477457683,2.863803148478851e-05,0.19595306122448977,0.3727593720314938,0.1111111111111111,,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,22.0,0.9375,,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.0,22,785873,0,0.1111111111111111,0.9375
0.0005677806006537543,5.770332866137581e-05,0.0012068483564588758,4.809066115363715e-05,0.15923061224489793,0.009540954763499945,0.22580645161290322,,0.22580645161290322,0.22580645161290322,0.22580645161290322,0.22580645161290322,0.22580645161290322,0.22580645161290322,0.22580645161290322,0.22580645161290322,0.0,58.0,0.8541666666666666,,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.8541666666666666,0.0,58,785873,0,0.22580645161290322,0.8541666666666666
0.0005074871910942926,5.9597662528534474e-05,0.001094818115234375,5.6707881175425735e-05,0.0980265306122449,0.002329951810515372,0.1724137931034483,,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.1724137931034483,0.0,50.0,0.8958333333333334,,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.0,50,785873,0,0.1724137931034483,0.8958333333333334
